"","type","listed_in","Count"
"618","TV Show","Comedy, Drama, Young Adult Audience",1
"619","TV Show","Comedy, Historical",1
"620","TV Show","Comedy, Horror, Kids",1
"621","TV Show","Comedy, International, Romance",1
"622","TV Show","Comedy, International, Special Interest",1
"623","TV Show","Comedy, Kids, Talk Show and Variety",1
"624","TV Show","Comedy, LGBTQ, Romance",1
"625","TV Show","Documentary, Drama, Faith and Spirituality",1
"626","TV Show","Documentary, Drama, Horror",1
"627","TV Show","Documentary, Drama, Kids",1
"628","TV Show","Documentary, Drama, LGBTQ",1
"629","TV Show","Documentary, Drama, Sports",1
"630","TV Show","Documentary, Horror",1
"631","TV Show","Documentary, Horror, Special Interest",1
"632","TV Show","Documentary, Horror, Suspense",1
"633","TV Show","Documentary, International",1
"634","TV Show","Documentary, International, Special Interest",1
"635","TV Show","Documentary, Kids, Science Fiction",1
"636","TV Show","Documentary, LGBTQ, Music Videos and Concerts",1
"637","TV Show","Documentary, LGBTQ, Special Interest",1
"638","TV Show","Documentary, Military and War, Special Interest",1
"639","TV Show","Documentary, Music Videos and Concerts, Special Interest",1
"640","TV Show","Documentary, Science Fiction",1
"641","TV Show","Documentary, Suspense, Unscripted",1
"642","TV Show","Drama, Faith and Spirituality",1
"643","TV Show","Drama, Faith and Spirituality, Special Interest",1
"644","TV Show","Drama, Fantasy, Historical",1
"645","TV Show","Drama, Fantasy, Science Fiction",1
"646","TV Show","Drama, Historical, International",1
"647","TV Show","Drama, Historical, Romance",1
"648","TV Show","Drama, Historical, Suspense",1
"649","TV Show","Drama, Horror, Young Adult Audience",1
"650","TV Show","Drama, International, Romance",1
"651","TV Show","Drama, International, Sports",1
"652","TV Show","Drama, Kids",1
"653","TV Show","Drama, Kids, Western",1
"654","TV Show","Drama, LGBTQ, Unscripted",1
"655","TV Show","Drama, Romance, Suspense",1
"656","TV Show","Drama, Special Interest, Suspense",1
"657","TV Show","Drama, Special Interest, Unscripted",1
"658","TV Show","Drama, Suspense, Young Adult Audience",1
"659","TV Show","Drama, Unscripted",1
"660","TV Show","Drama, Unscripted, Young Adult Audience",1
"661","TV Show","Faith and Spirituality, Kids, Special Interest",1
"662","TV Show","Fantasy, Horror, International",1
"663","TV Show","Fantasy, Kids",1
"664","TV Show","Fitness",1
"665","TV Show","Fitness, Kids",1
"666","TV Show","Fitness, Kids, Special Interest",1
"667","TV Show","Horror, Romance, Science Fiction",1
"668","TV Show","Horror, Science Fiction, Suspense",1
"669","TV Show","International, Music Videos and Concerts, Unscripted",1
"670","TV Show","International, Special Interest",1
"671","TV Show","International, Sports",1
"672","TV Show","International, Suspense",1
"673","TV Show","Kids, LGBTQ, Romance",1
"674","TV Show","Kids, Special Interest, Unscripted",1
"675","TV Show","LGBTQ",1
"676","TV Show","LGBTQ, Romance",1
"677","TV Show","LGBTQ, Special Interest, Unscripted",1
"678","TV Show","Romance, Science Fiction",1
"679","TV Show","Romance, Science Fiction, Western",1
"680","TV Show","Science Fiction, Suspense, Unscripted",1
"681","TV Show","Special Interest, Suspense",1
"682","TV Show","Special Interest, Talk Show and Variety, Unscripted",1
"683","TV Show","Special Interest, Western",1
"684","TV Show","Young Adult Audience",1
