"","word","freq"
"sugar","sugar",8
"half","half",8
"say","say",8
"cant","cant",8
"deep","deep",8
"trucks","trucks",8
"grand","grand",8
"north","north",8
"london","london",8
"kevin","kevin",8
"santa","santa",8
"cartoon","cartoon",8
"kingdom","kingdom",8
"americas","americas",8
"nights","nights",8
"yakov","yakov",8
"bill","bill",8
"second","second",8
"hunting","hunting",8
"holy","holy",8
"see","see",8
"ill","ill",8
"william","william",8
"lee","lee",8
"soothing","soothing",8
"morphles","morphles",8
"art","art",8
"cardio","cardio",8
"flying","flying",8
"hollywood","hollywood",8
"iii","iii",8
"marriage","marriage",8
"flight","flight",8
"gear","gear",8
"richard","richard",8
"relaxation","relaxation",8
"goes","goes",8
"goose","goose",8
"raising","raising",8
"frank","frank",7
"toy","toy",7
"hogi","hogi",7
"broken","broken",7
"laughing","laughing",7
"charlie","charlie",7
"wolf","wolf",7
"goodbye","goodbye",7
"paris","paris",7
"holiday","holiday",7
"without","without",7
"portrait","portrait",7
"tokyo","tokyo",7
"chasing","chasing",7
"looloo","looloo",7
"hai","hai",7
"getting","getting",7
"far","far",7
"rage","rage",7
"epic","epic",7
"head","head",7
"noir","noir",7
"bigfoot","bigfoot",7
"jesus","jesus",7
"skin","skin",7
"hidden","hidden",7
"please","please",7
"twinkle","twinkle",7
"streets","streets",7
"coming","coming",7
"book","book",7
"pororo","pororo",7
"ryan","ryan",7
"audio","audio",7
"onboarding","onboarding",7
"stranger","stranger",7
"massacre","massacre",7
"pearl","pearl",7
"air","air",7
"murders","murders",7
"soldiers","soldiers",7
"stand","stand",7
"mountains","mountains",7
"robert","robert",7
"among","among",7
"different","different",7
"food","food",7
"unknown","unknown",7
"highway","highway",7
"darkness","darkness",7
"rick","rick",7
"cross","cross",7
"door","door",7
"chinese","chinese",7
"human","human",7
"enemy","enemy",7
"hands","hands",7
"waiting","waiting",7
"boss","boss",7
"trail","trail",7
"kitchen","kitchen",7
"class","class",7
"steel","steel",7
"australia","australia",7
"stars","stars",7
"hills","hills",7
"national","national",7
"metal","metal",7
"late","late",7
"camp","camp",7
"bear","bear",7
"forest","forest",7
"smirnoff","smirnoff",7
"romance","romance",7
"quest","quest",7
"alone","alone",7
"oru","oru",7
"sunshine","sunshine",7
"missing","missing",7
"mega","mega",7
"china","china",7
"iron","iron",7
"rhyme","rhyme",7
"subbed","subbed",7
"earth","earth",7
"andy","andy",7
"arms","arms",7
"amazing","amazing",7
"nation","nation",7
"wonder","wonder",7
"creatures","creatures",7
"mexico","mexico",7
"screen","screen",7
"lucky","lucky",7
"riders","riders",7
"ghosts","ghosts",7
"silver","silver",7
"diary","diary",7
"strange","strange",7
"uncut","uncut",7
"fighting","fighting",7
"saint","saint",7
"dunham","dunham",7
"thunder","thunder",7
"match","match",6
"youre","youre",6
"vehicle","vehicle",6
"pop","pop",6
"roll","roll",6
"calls","calls",6
"katha","katha",6
"redemption","redemption",6
"captain","captain",6
"friday","friday",6
"friendship","friendship",6
"dancing","dancing",6
"playtime","playtime",6
"trap","trap",6
"blind","blind",6
"bears","bears",6
"palace","palace",6
"waves","waves",6
"thieves","thieves",6
"candy","candy",6
"drama","drama",6
"morning","morning",6
"flow","flow",6
"friend","friend",6
"fall","fall",6
"daddy","daddy",6
"celebrity","celebrity",6
"effect","effect",6
"got","got",6
"tree","tree",6
"field","field",6
"pete","pete",6
